Species	Instance	SD_count	SD_percentage
fusarium_oxysporum	fungi	2138	20.16030174446016
saccharomyces_cerevisiae	fungi	683	26.168582375478927
emiliania_huxleyi	protists	14351	43.78508664876739
paramecium_tetraurelia	protists	27661	79.03368667676219
actinidia_chinensis	plants	22430	72.5490830287544
ananas_comosus	plants	4357	22.150482968988307
arabidopsis_halleri	plants	5885	21.372022080185936
arabidopsis_thaliana	plants	7530	33.297957017776596
avena_sativa_ot3098	plants	42997	74.43305750787661
avena_sativa_sang	plants	63492	79.22833112880282
brachypodium_distachyon	plants	7461	27.242852448241866
brassica_juncea	plants	48381	69.66407003700557
brassica_napus	plants	59918	63.31417219662707
brassica_oleracea	plants	24314	44.30232134397434
brassica_rapa	plants	23541	62.589067318940764
brassica_rapa_ro18	plants	19282	49.29566662405727
camelina_sativa	plants	69355	79.45627642146023
chenopodium_quinoa	plants	15785	48.57371449672277
citrullus_lanatus	plants	3600	22.766078542970973
coffea_canephora	plants	4084	20.60544904137235
cynara_cardunculus	plants	3317	20.2095899591787
digitaria_exilis	plants	41246	75.51999414091108
dioscorea_rotundata	plants	8809	32.30763588351793
echinochloa_crusgalli	plants	66262	70.97016044384465
eragrostis_curvula	plants	13447	27.406501579537345
eucalyptus_grandis	plants	46488	75.45773276197897
ficus_carica	plants	6846	30.615804302133178
galdieria_sulphuraria	plants	6747	25.405731069021346
glycine_max	plants	36994	72.19468404824167
gossypium_raimondii	plants	16290	48.65882071808352
helianthus_annuus	plants	13432	23.21425485214566
ipomoea_triloba	plants	9537	35.65100370079623
juglans_regia	plants	13096	34.165557903524565
kalanchoe_fedtschenkoi	plants	7374	28.37900246305419
lactuca_sativa	plants	6757	20.521776103990767
leersia_perrieri	plants	5758	25.97320582795796
lupinus_angustifolius	plants	16167	54.14447905154225
malus_domestica_golden	plants	22987	62.58031144506153
manihot_esculenta	plants	14278	52.81692745903155
musa_acuminata	plants	16170	54.10017063133594
nymphaea_colorata	plants	4586	20.98471675665782
oryza_barthii	plants	5092	20.554636095749405
oryza_brachyantha	plants	5078	23.83366187928283
oryza_glaberrima	plants	6054	23.775674508109805
oryza_glumipatula	plants	5454	21.464835294580663
oryza_punctata	plants	5847	24.25436595179823
oryza_rufipogon	plants	5587	21.243346007604565
oryza_sativa	plants	6096	23.94344069128044
oryza_sativa_arc	plants	6136	22.257690075449794
oryza_sativa_azucena	plants	6139	22.193702324572502
oryza_sativa_chaomeo	plants	6186	22.055834848646914
oryza_sativa_gobolsailbalam	plants	6125	22.385059571668737
oryza_sativa_ir64	plants	6207	22.738762501373778
oryza_sativa_ketannangka	plants	6131	22.162377096587623
oryza_sativa_khaoyaiguang	plants	6479	23.36964363006781
oryza_sativa_larhamugad	plants	6144	22.461066023250716
oryza_sativa_lima	plants	7212	25.415844375528618
oryza_sativa_liuxu	plants	15680	43.6282693377852
oryza_sativa_mh63	plants	6044	22.245123297754876
oryza_sativa_n22	plants	6158	22.432698262358382
oryza_sativa_natelboro	plants	6133	22.566876402840638
oryza_sativa_pr106	plants	6172	22.42895559270296
oryza_sativa_zs97	plants	6084	22.69810476048351
panicum_hallii	plants	6182	25.047607471334228
panicum_hallii_fil2	plants	5920	23.51632636847541
papaver_somniferum	plants	19358	53.13169017950267
phaseolus_vulgaris	plants	8274	35.38165490699166
physcomitrium_patens	plants	4494	20.342205323193916
populus_trichocarpa	plants	19860	64.67159464652057
prunus_persica	plants	4340	20.51039697542533
saccharum_spontaneum	plants	28231	60.017432713975936
selaginella_moellendorffii	plants	26322	78.55906404823017
sesamum_indicum	plants	8274	40.098865949403894
setaria_italica	plants	5474	20.877989244441054
setaria_viridis	plants	5966	20.865246738712273
solanum_lycopersicum	plants	6400	23.894862604540023
sorghum_bicolor	plants	5462	21.388573442456043
theobroma_cacao	plants	4707	21.34887518142235
theobroma_cacao_criollo	plants	4700	27.230590961761298
triticum_aestivum	plants	79033	74.43303823695612
triticum_aestivum_arinalrfor	plants	84812	59.4783755163297
triticum_aestivum_jagger	plants	83573	60.03419319153216
triticum_aestivum_julius	plants	84383	60.38658060083871
triticum_aestivum_lancer	plants	83838	60.231477157615686
triticum_aestivum_landmark	plants	84018	60.462438561014395
triticum_aestivum_mace	plants	83797	60.13289990168852
triticum_aestivum_mattis	plants	84076	60.28854979348325
triticum_aestivum_norin61	plants	85143	59.193264691773436
triticum_aestivum_refseqv2	plants	78393	74.92903090142703
triticum_aestivum_renan	plants	71709	72.46554024010672
triticum_aestivum_stanley	plants	84481	60.765894394613994
triticum_dicoccoides	plants	39910	66.3055938595471
triticum_spelta	plants	79753	71.1584789164689
triticum_turgidum	plants	40003	61.748271178068656
vigna_angularis	plants	6408	22.7443742457585
vigna_radiata	plants	5792	31.59502509273402
vigna_unguiculata	plants	9733	36.460011238059565
zea_mays	plants	12270	36.60282799355647
carassius_auratus	vertebrates	33441	63.103370192852026
chelydra_serpentina	vertebrates	3320	20.89758922389375
cyprinus_carpio_carpio	vertebrates	32958	76.37475957639099
cyprinus_carpio_germanmirror	vertebrates	32609	75.35297515886771
cyprinus_carpio_hebaored	vertebrates	29145	65.96577791860939
cyprinus_carpio_huanghe	vertebrates	31855	72.97322062630289
danio_rerio	vertebrates	7716	29.360730593607304
esox_lucius	vertebrates	4099	20.632204157648363
homo_sapiens	vertebrates	4039	21.229960578186596
hucho_hucho	vertebrates	16593	35.393869584693164
oncorhynchus_kisutch	vertebrates	27413	67.90774871185097
oncorhynchus_mykiss	vertebrates	30397	68.93838024176173
oncorhynchus_tshawytscha	vertebrates	27241	68.78519304093125
paramormyrops_kingsleyae	vertebrates	5961	29.53183056725291
salmo_salar	vertebrates	29770	67.73144040224786
salmo_trutta	vertebrates	30000	73.09585302860484
scleropages_formosus	vertebrates	8900	44.73935555220429
sinocyclocheilus_anshuiensis	vertebrates	30939	73.0416922423155
sinocyclocheilus_grahami	vertebrates	27003	63.16047996631815
sinocyclocheilus_rhinocerous	vertebrates	29952	68.66260143964055
terrapene_carolina_triunguis	vertebrates	3940	22.532311563536545
actinia_equina_gca011057435	metazoa	13217	34.55334501058796
adineta_vaga	metazoa	31761	73.2326492967489
amphibalanus_amphitrite_gca019059575v1	metazoa	12381	49.10756782484531
caenorhabditis_brenneri	metazoa	6049	25.578248551735804
crassostrea_virginica_gca002022765v4	metazoa	8823	29.952133618494752
lytechinus_variegatus_gca018143015v1	metazoa	4261	24.313837375178316
strongylocentrotus_purpuratus	metazoa	4906	21.825785212207492
